order_id,item_name,category,quantity,unit_price,outlet,order_date,payment_method
ORD001,Grilled Burger,Fast Food,2,12.99,Downtown,2024-01-15,Card
ORD002,Pasta Arrabiata,Italian,1,15.50,Uptown,2024-01-15,Cash
ORD003,Margherita Pizza,Italian,3,18.00,Westside,15/01/2024,Card
ORD004,Caesar Salad,Healthy,2,10.50,Eastside,2024-01-16,Online
ORD005,grilled burger,Fast Food,1,12.99,downtown,2024-01-16,Card
ORD006,Chicken Wings,Fast Food,4,9.99,Downtown,2024-01-16,Cash
ORD007,Veggie Wrap,Healthy,2,11.00,Uptown,16/01/2024,Card
ORD008,Pepperoni Pizza,Italian,1,20.00,Westside,2024-01-17,Online
ORD009,Chocolate Lava Cake,Dessert,3,8.50,Eastside,2024-01-17,Cash
ORD010,Fish & Chips,Fast Food,2,14.00,Downtown,2024-01-17,Card
ORD001,Grilled Burger,Fast Food,2,12.99,Downtown,2024-01-15,Card
ORD011,Mushroom Risotto,Italian,1,17.50,Uptown,2024-01-18,Cash
ORD012,Greek Salad,Healthy,2,9.50,Westside,18/01/2024,Card
ORD013,BBQ Ribs,Fast Food,1,22.00,Eastside,2024-01-18,Online
ORD014,Tiramisu,Dessert,2,7.50,Downtown,2024-01-19,Cash
ORD015,Chicken Burger,Fast Food,3,13.50,UPTOWN,2024-01-19,Card
ORD016,Spaghetti Bolognese,Italian,2,16.00,Westside,2024-01-19,Online
ORD017,Fruit Salad,Healthy,1,8.00,Eastside,19/01/2024,
ORD018,Onion Rings,Fast Food,3,6.50,Downtown,2024-01-20,Cash
ORD019,Cheesecake,Dessert,1,9.00,Uptown,2024-01-20,Card
ORD020,Veggie Pizza,Italian,0,18.50,Westside,2024-01-20,Online
ORD021,Nachos,Fast Food,-1,7.00,Eastside,2024-01-21,Cash
ORD022,Chicken Caesar,Healthy,2,12.00,Downtown,2024-01-21,Card
ORD023,Brownie,Dessert,4,5.50,Uptown,21/01/2024,Online
ORD024,Lamb Chops,,2,28.00,Westside,2024-01-22,Cash
ORD025,Prawn Tempura,Asian,3,16.50,Eastside,2024-01-22,Card
ORD026,Mango Smoothie,Beverages,2,6.00,Downtown,2024-01-22,Online
ORD027,Iced Coffee,Beverages,5,4.50,Uptown,2024-01-23,Cash
ORD028,Steak Sandwich,Fast Food,1,$19.99,Westside,2024-01-23,Card
ORD029,Pad Thai,Asian,2,fourteen,Eastside,2024-01-23,Online
ORD030,Green Tea,Beverages,3,3.50,Downtown,23/01/2024,Cash
ORD031,Sushi Platter,Asian,1,35.00,Uptown,2024-01-24,Card
ORD032,Lemonade,Beverages,4,3.00,Westside,2024-01-24,Online
ORD033,Beef Tacos,Fast Food,3,11.50,Eastside,2024-01-24,Cash
ORD034,Panna Cotta,Dessert,2,8.00,Downtown,2024-01-25,Card
ORD035,Chicken Satay,Asian,4,13.00,Uptown,25/01/2024,Online
ORD036,Veggie Burger,Fast Food,2,11.00,Westside,2024-01-25,Cash
ORD037,Quinoa Bowl,Healthy,1,13.50,Eastside,2024-01-26,Card
ORD038,Hot Chocolate,Beverages,3,4.00,Downtown,2024-01-26,Online
ORD039,Garlic Bread,Italian,4,5.00,Uptown,2024-01-26,Cash
ORD015,Chicken Burger,Fast Food,3,13.50,UPTOWN,2024-01-19,Card
ORD040,Dim Sum,Asian,2,18.00,Westside,2024-01-27,Card
ORD041,Eton Mess,Dessert,1,7.00,Eastside,27/01/2024,Online
ORD042,Cappuccino,Beverages,2,4.50,Downtown,2024-01-27,Cash
ORD043,Lasagne,Italian,1,16.50,Uptown,2024-01-28,Card
ORD044,Tuna Salad,Healthy,3,11.00,Westside,2024-01-28,Online
ORD045,Loaded Fries,Fast Food,2,8.50,Eastside,2024-01-28,Cash
ORD046,Mochi Ice Cream,Dessert,4,6.50,Downtown,2024-01-29,Card
ORD047,Ramen,Asian,1,17.00,Uptown,29/01/2024,Online
ORD048,Orange Juice,Beverages,3,4.00,Westside,2024-01-29,Cash
ORD049,BBQ Chicken Pizza,Italian,2,21.00,Eastside,2024-01-30,Card
ORD050,Protein Bowl,Healthy,1,14.00,Downtown,2024-01-30,Online
