product_id,product_name,category,stock_level,unit_cost,expiry_date,supplier,outlet
PRD001,Beef Patty,Meat,150,3.5,2/15/2026,FreshMeats Co,Downtown
PRD002,Pizza Dough,Bakery,80,1.2,15/02/2026,BakePro,Uptown
PRD003,Chicken Breast,Meat,200,2.8,2/20/2026,FreshMeats Co,Westside
PRD004,pasta arrabiata sauce,Sauces,60,2.1,2/18/2026,,Eastside
PRD005,Lettuce,Vegetables,120,0.5,2/10/2026,GreenFarm,Downtown
PRD006,Mozzarella Cheese,Dairy,90,4.2,10/2/2026,DairyBest,Uptown
PRD007,Salmon Fillet,Seafood,45,8.5,2/12/2026,OceanFresh,Westside
PRD008,,Beverages,300,0.8,3/1/2026,DrinkSupply,Eastside
PRD009,Tomato Sauce,Sauces,75,1.5,2/25/2026,SauceMaster,Downtown
PRD010,Bread Rolls,Bakery,180,0.9,2/8/2026,BakePro,Uptown
PRD011,Prawns,Seafood,-20,9,2/14/2026,OceanFresh,Westside
PRD012,Chocolate Sauce,Sauces,50,2.3,14/02/2026,SauceMaster,Eastside
PRD013,BEEF PATTY,Meat,130,3.5,2/15/2026,FreshMeats Co,Uptown
PRD014,Flour,Bakery,400,0.6,6/30/2026,BakePro,Downtown
PRD015,Cream,Dairy,70,3.1,2/5/2026,DairyBest,Westside
,Mushrooms,Vegetables,85,1.2,2/22/2026,GreenFarm,Eastside
PRD017,Lamb Rack,Meat,30,12,2/18/2026,FreshMeats Co,Downtown
PRD018,rice noodles,Asian Pantry,150,1.8,18/02/2026,AsianStore,Uptown
PRD019,Coconut Milk,Asian Pantry,90,2.5,3/15/2026,,Westside
PRD020,Eggs,Dairy,500,0.25,2/7/2026,DairyBest,Eastside
PRD021,Olive Oil,Pantry,60,5.5,12/31/2026,PantryPro,Downtown
PRD022,Garlic,Vegetables,200,0.3,2/20/2026,GreenFarm,Uptown
PRD023,Tuna,Seafood,40,6.8,2/16/2026,OceanFresh,Westside
PRD024,,,0,4,,,Eastside
PRD025,Mango,Fruits,110,1.5,10/2/2026,FruitVille,Downtown
PRD026,Sugar,Pantry,350,0.4,1/1/2025,PantryPro,Uptown
PRD027,Pork Belly,Meat,55,5.2,2/19/2026,FreshMeats Co,Westside
PRD028,Spinach,Vegetables,95,0.7,2/9/2026,GreenFarm,Eastside
PRD029,Vanilla Extract,Pantry,40,$3.80 ,6/15/2026,PantryPro,Downtown
PRD030,Parmesan,Dairy,65,$6.20 ,15/06/2026,DairyBest,Uptown
PRD031,Chicken Wings,Meat,180,2.2,2/22/2026,FreshMeats Co,Westside
PRD032,Lemon,Fruits,220,0.45,2/15/2026,FruitVille,Eastside
PRD033,Soy Sauce,Asian Pantry,80,2.9,8/30/2026,,Downtown
PRD034,Pizza Base,Bakery,70,1.5,2/11/2026,BakePro,Uptown
PRD035,Beef Mince,Meat,100,4.1,11/2/2026,FreshMeats Co,Westside
PRD036,Cream Cheese,Dairy,55,3.8,2/13/2026,DairyBest,Eastside
PRD037,Strawberry,Fruits,130,1.2,2/6/2026,FruitVille,Downtown
PRD038,Ginger,Vegetables,160,0.55,2/28/2026,GreenFarm,Uptown
PRD001,Beef Patty,Meat,150,3.5,2/15/2026,FreshMeats Co,Downtown
PRD039,Sesame Oil,Asian Pantry,45,4.6,9/30/2026,AsianStore,Westside
PRD040,Avocado,Fruits,75,2.1,8/2/2026,FruitVille,Eastside
